tg_id,tg_nickname,pk_id,update_at
7709792775146372154,user_2ce0c5264b,1,2025-09-16T00:00:00.000Z
@6479186592692200541,user_6bdbc4049e,2,2025-07-03T00:00:00.000Z
436383886196002295@@,user_4cc301316f,3,2025-09-07T00:00:00.000Z
@886681811266115685,user_4f55b6cda4,4,2025-07-05T00:00:00.000Z
7162396051596847029,user_4d6ab83c84,5,2025-06-24T00:00:00.000Z
4951734628160936963,user_8af8af2fda,6,2025-07-14T00:00:00.000Z
4260830927011470678@,user_2504b169a1,7,2025-08-12T00:00:00.000Z
3979537125602292908,user_5f06b83e3f,8,2025-08-14T00:00:00.000Z
@6616041294297058468,user_b0be33f4a0,9,2025-09-04T00:00:00.000Z
6900815794806922031,user_bca9ed2205,10,2025-06-24T00:00:00.000Z
7975755741973390627,user_711eb82da5,11,2025-07-26T00:00:00.000Z
1970363699343736102,user_96c7115e61,12,2025-08-07T00:00:00.000Z
2095629343602244456,user_9a6f028fad,13,2025-06-23T00:00:00.000Z
2109976268664284113,user_9ae0878871,14,2025-09-02T00:00:00.000Z
@@1378580574298499333,user_3b75013055,15,2025-06-24T00:00:00.000Z
8886849156896853508,user_0933581e41,38,2025-09-04T00:00:00.000Z
8990034520361904942,user_0f8b187e24,39,2025-06-26T00:00:00.000Z
@8386129251319815721,user_6d051552a4,40,2025-08-24T00:00:00.000Z
8222453167356824583,user_8646181b01,41,2025-07-18T00:00:00.000Z
4489332813500271082,user_5e2ed4bd2e,42,2025-07-26T00:00:00.000Z
2390745017757749197,user_620e45d4f0,43,2025-08-15T00:00:00.000Z
2858738038628630534,user_7da4e603e1,21,2025-08-11T00:00:00.000Z
7670156635109589872,user_b52cfe4b67,22,2025-08-31T00:00:00.000Z
@5989153320870325042,user_69c3fae663,23,2025-06-30T00:00:00.000Z
4855064156196176728,user_0bd16a2a73,24,2025-09-07T00:00:00.000Z
6576161240370682638,user_974209a079,25,2025-08-30T00:00:00.000Z
4079098095408928504,user_4f3629da99,26,2025-09-05T00:00:00.000Z
428245605793274329,user_b5666e5402,27,2025-07-13T00:00:00.000Z
2420196188665083574,user_70017e2e57,28,2025-07-29T00:00:00.000Z
5878489398963085104,user_242dd39541,29,2025-08-01T00:00:00.000Z
4318742159849499585,user_88f123cf7b,30,2025-06-27T00:00:00.000Z
840211886650104297,user_c0dc1fc440,31,2025-06-21T00:00:00.000Z
@5969458147978121817,user_4ca502fb09,32,2025-07-22T00:00:00.000Z
3575149785559630528,user_573d212893,33,2025-08-23T00:00:00.000Z
4985226771630758535,user_b61016b669,34,2025-07-22T00:00:00.000Z
7371871509359021437,user_1c1a285393,35,2025-09-17T00:00:00.000Z
@3357485841098346742,user_b1b6f5bf67,36,2025-09-13T00:00:00.000Z
2764831752123181820,user_2a9b27d405,37,2025-08-30T00:00:00.000Z
7631221615015873216,user_ec6bddda37,38,2025-09-17T00:00:00.000Z
2566633821942811194,user_2aa56d066c,39,2025-07-25T00:00:00.000Z
@807832804109903902,user_bda280d694,40,2025-06-27T00:00:00.000Z
5230053813543949510,user_f0824155d0,41,2025-07-18T00:00:00.000Z
8307489794104518321,user_66e2d30f31,42,2025-06-29T00:00:00.000Z
8478405759832605096,user_8beb3748a3,43,2025-07-22T00:00:00.000Z
2056110474941078023,user_75d06ec935,44,2025-09-10T00:00:00.000Z
7950429183023309397,user_1b117e4368,45,2025-07-19T00:00:00.000Z
8948511475628056832,user_1f356de05d,46,2025-08-22T00:00:00.000Z
6644493016419245498,user_5aaf339488,47,2025-08-06T00:00:00.000Z
692330245799316141,user_57f9a6c015,48,2025-08-22T00:00:00.000Z
1233729327905540789,user_68b4c8b1a5,49,2025-06-21T00:00:00.000Z
@1740200025214090589,user_29aa3a47f2,50,2025-07-15T00:00:00.000Z
1239209620086912273,user_137337f4dd,51,2025-06-29T00:00:00.000Z
7435979026207610239,user_72d46e0ecc,52,2025-07-31T00:00:00.000Z
6176715761668391318,user_88faa62398,53,2025-07-07T00:00:00.000Z
4906179584239686107,@user_c9b085491f,54,2025-08-17T00:00:00.000Z
9203881743075606184,user_b41d2a2b36,55,2025-08-05T00:00:00.000Z
@6653414765080889910,user_e6d48c49df,56,2025-09-18T00:00:00.000Z
6182000601903711177,user_49a095a236,57,2025-08-26T00:00:00.000Z
371491060935506448,user_93f9a323ae,58,2025-08-04T00:00:00.000Z
1125298406579723254,user_9dcf014b2e,59,2025-08-11T00:00:00.000Z
@1126293858277502902,user_4599d6e012,60,2025-08-23T00:00:00.000Z
4248433756979821143,user_f42f2d56a5,61,2025-08-10T00:00:00.000Z
7194652168952239349,user_851cafa6b9,62,2025-09-13T00:00:00.000Z
@7273171720024564309,user_f4fb643ac2,63,2025-09-01T00:00:00.000Z
7766785030937753322,user_c8bf574f6e,64,2025-06-21T00:00:00.000Z
3419714648503411265,user_20c6ac7625,65,2025-08-16T00:00:00.000Z
3156516511365016483,user_5acfe9337e,66,2025-08-12T00:00:00.000Z
489525218763747670,user_c31ce15b3d,67,2025-08-22T00:00:00.000Z
